시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
연서시장,56.0,참기름 320ml,,12000.0,2024-11,100%통참깨,전통시장,은평구,2024,11,젓갈/장/소스
창신골목시장,47.0,고추장 1kg,,9800.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,48.0,된장 1kg,,7800.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,49.0,간장 1통,,6900.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,50.0,굵은소금(천일염) 1kg,,7000.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,51.0,설탕 1kg,,3000.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,52.0,식초 1.8L,,6400.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,53.0,케찹 500g,,4200.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,54.0,마요네즈 500g,,6500.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,55.0,식용유 1.8L,,8500.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
창신골목시장,56.0,참기름 320ml,,11000.0,2024-11,,전통시장,종로구,2024,11,젓갈/장/소스
남구로시장,47.0,고추장 1kg,,17950.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,48.0,된장 1kg,,8650.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,49.0,간장 1통,,8900.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,50.0,굵은소금(천일염) 1kg,,6100.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,51.0,설탕 1kg,,2650.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,52.0,식초 1.8L,,4600.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,53.0,케찹 500g,,2800.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,54.0,마요네즈 500g,,5150.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,55.0,식용유 1.8L,,9980.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
남구로시장,56.0,참기름 320ml,,10500.0,2024-11,,전통시장,구로구,2024,11,젓갈/장/소스
,49.0,간장 1통,,7700.0,2024-11,,전통시장,성동구,2024,11,젓갈/장/소스
목사랑시장(목4동시장),47.0,고추장 1kg,,14800.0,2024-11,,전통시장,양천구,2024,11,젓갈/장/소스
목사랑시장(목4동시장),48.0,된장 1kg,,6980.0,2024-11,,전통시장,양천구,2024,11,젓갈/장/소스
