시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,시장유형 구분(시장/마트) 이름,자치구 이름,년도,월,카테고리
송화(벽화)시장,60.0,국수 900g,,3550.0,2024-11,,전통시장,강서구,2024,11,가공식품
송화(벽화)시장,61.0,라면 5개입 1봉,,3900.0,2024-11,,전통시장,강서구,2024,11,가공식품
송화(벽화)시장,62.0,컵라면 1개,,1430.0,2024-11,,전통시장,강서구,2024,11,가공식품
송화(벽화)시장,65.0,통조림(참치) 150g,,2590.0,2024-11,,전통시장,강서구,2024,11,가공식품
송화(벽화)시장,71.0,밀가루 1kg,,1790.0,2024-11,,전통시장,강서구,2024,11,가공식품
강남개포시장,57.0,부침가루 1kg,,3950.0,2024-11,,전통시장,강남구,2024,11,가공식품
강남개포시장,60.0,국수 900g,,4280.0,2024-11,,전통시장,강남구,2024,11,가공식품
강남개포시장,61.0,라면 5개입 1봉,,4500.0,2024-11,,전통시장,강남구,2024,11,가공식품
강남개포시장,62.0,컵라면 1개,,1300.0,2024-11,,전통시장,강남구,2024,11,가공식품
강남개포시장,65.0,통조림(참치) 150g,,2962.0,2024-11,"3,950/200g",전통시장,강남구,2024,11,가공식품
강남개포시장,71.0,밀가루 1kg,,1980.0,2024-11,,전통시장,강남구,2024,11,가공식품
사가정시장,62.0,부침가루 1kg,,1350.0,2024-11,,전통시장,중랑구,2024,11,가공식품
사가정시장,65.0,국수 900g,,3670.0,2024-11,,전통시장,중랑구,2024,11,가공식품
사가정시장,66.0,라면 5개입 1봉,,6300.0,2024-11,,전통시장,중랑구,2024,11,가공식품
사가정시장,67.0,컵라면 1개,,8500.0,2024-11,,전통시장,중랑구,2024,11,가공식품
신원시장(신림1동),57.0,부침가루 1kg,,3680.0,2024-11,,전통시장,관악구,2024,11,가공식품
사가정시장,72.0,통조림(참치) 150g,,4360.0,2024-11,,전통시장,중랑구,2024,11,가공식품
신원시장(신림1동),60.0,국수 900g,,3900.0,2024-11,,전통시장,관악구,2024,11,가공식품
사가정시장,79.0,밀가루 1kg,,2980.0,2024-11,,전통시장,중랑구,2024,11,가공식품
신원시장(신림1동),61.0,라면 5개입 1봉,,4180.0,2024-11,,전통시장,관악구,2024,11,가공식품
신원시장(신림1동),62.0,컵라면 1개,,1220.0,2024-11,,전통시장,관악구,2024,11,가공식품
신원시장(신림1동),65.0,통조림(참치) 150g,,3230.0,2024-11,,전통시장,관악구,2024,11,가공식품
신원시장(신림1동),71.0,밀가루 1kg,,2380.0,2024-11,,전통시장,관악구,2024,11,가공식품
백년시장,57.0,부침가루 1kg,,3980.0,2024-11,,전통시장,강북구,2024,11,가공식품
백년시장,60.0,국수 900g,,4300.0,2024-11,,전통시장,강북구,2024,11,가공식품
백년시장,61.0,라면 5개입 1봉,,4380.0,2024-11,,전통시장,강북구,2024,11,가공식품
백년시장,62.0,컵라면 1개,,1350.0,2024-11,,전통시장,강북구,2024,11,가공식품
백년시장,65.0,통조림(참치) 150g,,3940.0,2024-11,135g 3550,전통시장,강북구,2024,11,가공식품
백년시장,71.0,밀가루 1kg,,2200.0,2024-11,,전통시장,강북구,2024,11,가공식품
솔샘시장,57.0,부침가루 1kg,,2990.0,2024-11,,전통시장,강북구,2024,11,가공식품
솔샘시장,60.0,국수 900g,,2990.0,2024-11,,전통시장,강북구,2024,11,가공식품
솔샘시장,61.0,라면 5개입 1봉,,3990.0,2024-11,,전통시장,강북구,2024,11,가공식품
솔샘시장,62.0,컵라면 1개,,1350.0,2024-11,,전통시장,강북구,2024,11,가공식품
솔샘시장,65.0,통조림(참치) 150g,,3500.0,2024-11,135g 3150,전통시장,강북구,2024,11,가공식품
영동전통시장,57.0,부침가루 1kg,,5000.0,2024-11,,전통시장,강남구,2024,11,가공식품
솔샘시장,71.0,밀가루 1kg,,1990.0,2024-11,,전통시장,강북구,2024,11,가공식품
영동전통시장,60.0,국수 900g,,3450.0,2024-11,,전통시장,강남구,2024,11,가공식품
영동전통시장,61.0,라면 5개입 1봉,,4500.0,2024-11,,전통시장,강남구,2024,11,가공식품
영동전통시장,62.0,컵라면 1개,,1350.0,2024-11,,전통시장,강남구,2024,11,가공식품
영동전통시장,65.0,통조림(참치) 150g,,3500.0,2024-11,,전통시장,강남구,2024,11,가공식품
영동전통시장,71.0,밀가루 1kg,,2300.0,2024-11,,전통시장,강남구,2024,11,가공식품
백련시장,57.0,부침가루 1kg,,2980.0,2024-11,,전통시장,서대문구,2024,11,가공식품
