자치구,시장 수
종로구,23
중구,40
용산구,8
성동구,13
광진구,14
동대문구,20
중랑구,13
성북구,14
강북구,16
도봉구,11
노원구,8
은평구,13
서대문구,14
마포구,17
양천구,13
강서구,10
구로구,9
금천구,8
영등포구,22
동작구,9
관악구,26
서초구,6
강남구,10
송파구,8
강동구,9
