자치구,시장밀도
종로구,0.003655435
중구,0.003022975
용산구,0.000770268
성동구,0.000767868
광진구,0.000680206
동대문구,0.000790045
중랑구,0.000620584
성북구,0.000785282
강북구,0.001288867
도봉구,0.000733969
노원구,0.000563738
은평구,0.000820241
서대문구,0.000769654
마포구,0.001080944
양천구,0.000515137
강서구,0.000728704
구로구,0.000435709
금천구,0.000432035
영등포구,0.001357773
동작구,0.000377739
관악구,0.001544126
서초구,0.000683839
강남구,0.000717772
송파구,0.000410614
강동구,0.000477682
