자치구,시장밀도
종로구,1.3251748251748252
중구,1.474758162031439
용산구,0.05555555555555555
성동구,0.12569403425871234
광진구,0.034593333981148576
중랑구,0.05761886576284132
성북구,0.07331164460399371
강북구,0.069357177380377
도봉구,0.07426436244745446
노원구,0.047706292720738494
은평구,0.0512335163101773
서대문구,0.04722374931280924
마포구,0.09626756533350289
양천구,0.03689174195593596
강서구,0.0488231436274867
구로구,0.03587335398915569
금천구,0.0588648269158071
영등포구,0.19342097142504475
동작구,0.023293880634600857
관악구,0.12246109989309895
서초구,0.10371552313653978
강남구,0.10558426643697962
송파구,0.05307190884360725
강동구,0.05779947985775702
